TF	Target
E2F1	RB1
RELA	NFKB2
STAT1	IRF1
ELK1	FOS
SP1	RARA
MYC	LDHA
RELA	CFLAR
TFAP2A	VEGFA
PPARG	CPT1B
USF1	ABCA1
NFKB1	CD40
E2F1	MCM5
E2F1	CCNE1
STAT3	SOCS3
PPARG	NR1H3
RELA	ICAM1
STAT5A	BCL2L1
JUN	CSF2
STAT1	SOCS3
E2F1	E2F1
NFKB1	ICAM1
JUN	F3
USF1	S100A6
E2F1	RAD51
SRF	FOS
CREB1	MITF
E2F1	PCNA
JUN	ETS1
TFAP2A	HIP1
HIF1A	PGK1
NFKB1	CFLAR
ELK4	FOS
ESR1	RARA
JUN	ATF3
E2F1	BRD2
JUN	FOSL1
E2F1	CDK1
FOS	MMP9
E2F1	RBL1
TP53	BAX
SRF	MCL1
PPARG	ANGPTL4
NFKB1	CXCL2
MYC	RCC1
NFKB1	LTA
TP53	BBC3
ETS1	MMP9
CEBPA	CSF3R
E2F1	RRM1
CEBPA	IL6
CEBPB	TOP1
E2F1	ID3
SP1	HRAS
JUN	RELB
TFAP2A	NR3C1
STAT1	NOS2
CREB1	HLA-DOB
JUN	MMP9
RELA	PTGS2
USF1	GCK
MYC	LMNA
MYC	KHSRP
MYC	PRDX3
SRF	MYL9
JUN	VEGFA
E2F1	CBX5
STAT3	MCL1
NFKB1	TP53
RELA	CXCL2
E2F1	HMGA1
SPI1	NCF2
CREB1	FOS
TP53	PMAIP1
ESR1	TGFA
JUN	CDKN1A
EGR1	POR
RELA	NFKBIA
SP1	NFKB2
NFKB1	NFKBIA
SP1	VEGFB
RELA	CXCL10
E2F1	DNMT1
JUN	EDN1
RELA	BIRC3
JUN	GSTP1
E2F1	POLA2
STAT5B	BCL6
STAT1	PIM1
EGR1	VEGFA
MYC	CDK4
MYC	ODC1
STAT1	PSMB9
MYC	CCND1
E2F1	DBF4
CEBPB	CSRP1
JUN	MEF2D
JUN	CCL2
STAT1	CDKN1A
JUN	LDHA
MYC	CCND2
E2F1	MYB
E2F1	CDCA7
E2F1	CDC25A
CREB1	JUN
MYC	ATF4
RELA	TP53
E2F1	UHRF1
JUN	FAS
NFKB1	CXCL10
JUN	IL1A
TP53	TP73
RELA	TRAF1
JUN	ITGAX
RELA	CD40
NFKB1	CCL5
SPI1	ITGAM
FOS	GSTP1
MYC	NR1D1
JUN	MYC
MYC	TERT
MYC	DCAF11
MYC	HDAC3
USF1	ISG20
JUN	SLC3A2
TP53	APAF1
MYC	PSME3
E2F1	MYBL2
NFKB1	CCL2
E2F1	SIVA1
NFKB1	PLAU
USF1	DUSP1
SRF	TAGLN
USF1	C4A
JUN	GJA1
SP1	LCAT
HIF1A	VEGFA
SP1	CIC
RELA	IFNB1
SP1	TINF2
RELA	TNF
NFIC	COL1A1
JUN	TP53
STAT3	IRF1
JUN	KRT16
NFKB1	VCAM1
