gene,cancer,rank,mf,known,dawnrank,drivermp,driverrwh,evidence_level
FLI1,LUAD,13,0.039711191,TRUE,5169,4932,3956,B
MYH11,LUAD,16,0.072202166,TRUE,108,217,154,B
BCOR,LUAD,27,0.045126354,TRUE,5716,644,2337,B
BRD4,LUAD,31,0.012635379,TRUE,538,273,715,B
CTCF,LUAD,35,0.012635379,TRUE,735,342,1586,B
HCFC1,LUAD,40,0.046931408,FALSE,225,363,520,B
HDAC2,LUAD,42,0.016245487,FALSE,501,128,646,B
GATA3,LUAD,43,0.028880866,TRUE,226,9315,370,B
GATA1,LUAD,47,0.019855596,TRUE,516,12879,929,B
SIN3A,LUAD,54,0.02166065,FALSE,435,196,821,B
EBF1,LUAD,56,0.027075812,TRUE,844,5275,1207,B
NCOA1,LUAD,61,0.039711191,TRUE,234,136,512,B
AR,LUAD,64,0.028880866,TRUE,213,5704,274,B
MAX,LUAD,67,0.018050542,TRUE,3953,875,3419,B
ZEB2,LUAD,73,0.083032491,FALSE,638,5815,320,B
NCOA3,LUAD,74,0.030685921,FALSE,319,303,657,B
KLF4,LUAD,75,0.014440433,TRUE,694,284,1273,B
PRKCB,LUAD,77,0.057761733,FALSE,123,4078,258,B
DNMT3A,LUAD,78,0.039711191,TRUE,197,6351,341,B
KDM5B,LUAD,82,0.027075812,FALSE,659,8565,1141,B
GSK3B,LUAD,84,0.014440433,FALSE,526,220,432,B
RUNX1T1,LUAD,86,0.064981949,TRUE,3048,339,772,B
EZH2,LUAD,87,0.016245487,TRUE,399,142,441,B
NCOA2,LUAD,89,0.034296029,TRUE,289,251,667,B
TFAP2A,LUAD,90,0.016245487,FALSE,2268,11708,3264,B
SP1,LUAD,91,0.012635379,FALSE,1156,216,2235,B
BRD2,LUAD,93,0.012635379,FALSE,1181,1208,2028,B
PGR,LUAD,96,0.032490975,FALSE,217,5449,417,B
JAK2,LUAD,98,0.028880866,TRUE,194,110,238,B
HNF4A,LUAD,48,0.041516245,FALSE,134,5643,262,C
POLR2A,LUAD,51,0.028880866,FALSE,196,174,386,C
CHD8,LUAD,59,0.05234657,FALSE,189,4061,207,C
SMC3,LUAD,60,0.030685921,FALSE,345,453,508,C
GABPA,LUAD,62,0.012635379,FALSE,7103,2016,8057,C
BPTF,LUAD,66,0.055956679,FALSE,884,367,485,C
KDM4C,LUAD,92,0.036101083,FALSE,4233,6010,2443,C
TAF3,LUAD,81,0.041516245,FALSE,2108,472,1405,D
