"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","out_degree","evidence_level"
"ZEB2","LUSC",62,0.0958333333333333,FALSE,476,4728,209,19,"B"
"RUNX1T1","LUSC",68,0.0791666666666667,TRUE,2742,234,328,3104,"B"
"ARID1B","LUSC",91,0.06875,TRUE,1018,218,222,5,"B"
"MYH11","LUSC",36,0.0604166666666667,TRUE,137,213,224,9177,"B"
"NSD1","LUSC",89,0.0583333333333333,TRUE,534,5328,214,6,"B"
"MED12","LUSC",32,0.0520833333333333,TRUE,298,119,278,6109,"B"
"NCOA2","LUSC",48,0.0520833333333333,TRUE,177,120,318,79,"B"
"PRKCB","LUSC",82,0.0520833333333333,FALSE,161,10528,305,0,"C"
"HDAC4","LUSC",59,0.05,FALSE,118,165,225,63,"C"
"CUX1","LUSC",69,0.05,TRUE,447,11520,505,1784,"B"
"EBF1","LUSC",42,0.0375,TRUE,570,4560,718,8362,"B"
"NCOA1","LUSC",63,0.0375,TRUE,281,103,458,97,"B"
"CHD8","LUSC",100,0.0375,FALSE,327,5387,269,7,"C"
"KDM5B","LUSC",52,0.0354166666666667,FALSE,440,10149,704,7631,"C"
"REST","LUSC",96,0.0354166666666667,FALSE,798,205,808,2595,"C"
"MYB","LUSC",58,0.0333333333333333,TRUE,605,191,919,6798,"B"
"BCOR","LUSC",70,0.0333333333333333,TRUE,5984,805,2619,8466,"B"
"FOXP1","LUSC",90,0.0333333333333333,TRUE,2894,11331,1154,8493,"B"
"GATA3","LUSC",57,0.0291666666666667,TRUE,236,12596,463,4165,"B"
"FLI1","LUSC",38,0.0270833333333333,TRUE,5276,6476,5141,14861,"B"
"POU2F1","LUSC",51,0.0270833333333333,FALSE,1450,4313,2494,5466,"C"
"POLR2A","LUSC",55,0.0270833333333333,FALSE,242,258,429,5825,"C"
"PBX1","LUSC",86,0.0270833333333333,TRUE,747,569,1307,5047,"B"
"DNMT3A","LUSC",95,0.0270833333333333,TRUE,330,101,357,23,"B"
"KLF5","LUSC",53,0.025,FALSE,4038,10201,2565,10551,"C"
"HNF4A","LUSC",99,0.025,FALSE,319,7490,451,3928,"C"
"BRD4","LUSC",20,0.0229166666666667,TRUE,293,7649,207,14508,"B"
"BRD2","LUSC",49,0.0229166666666667,FALSE,630,5332,1042,11920,"C"
"ETS1","LUSC",41,0.0208333333333333,FALSE,815,130,974,13272,"C"
"CTCF","LUSC",13,0.01875,TRUE,501,177,823,16900,"B"
"SP1","LUSC",47,0.0166666666666667,FALSE,803,189,1136,8414,"C"
"GABPA","LUSC",54,0.0166666666666667,FALSE,6658,1390,7790,14018,"C"
"GATA1","LUSC",83,0.0145833333333333,TRUE,799,7526,844,11633,"B"
"HDAC1","LUSC",65,0.0125,FALSE,603,123,449,12738,"C"
"JUN","LUSC",73,0.0125,TRUE,740,109,679,12891,"B"
"MAZ","LUSC",80,0.0125,FALSE,6711,4254,6424,17162,"C"
