"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"11,353"	"9,192"	"27.67"	"212"
"KRAS"	"2,883"	"2,676"	"8.06"	"84"
"PIK3CA"	"3,054"	"2,473"	"7.44"	"109"
"BRAF"	"1,799"	"1,427"	"4.3"	"57"
"APC"	"2,805"	"1,394"	"4.2"	"43"
"KMT2D"	"3,067"	"1,342"	"4.04"	"91"
"LRP1B"	"4,890"	"1,264"	"3.81"	"70"
"ARID1A"	"2,074"	"1,169"	"3.52"	"90"
"PTEN"	"1,794"	"1,073"	"3.23"	"78"
"KMT2C"	"2,759"	"1,049"	"3.16"	"79"
"CSMD3"	"4,848"	"917"	"2.76"	"46"
"CTNNB1"	"1,223"	"881"	"2.65"	"47"
"CDKN2A"	"1,180"	"846"	"2.55"	"70"
"NRAS"	"1,036"	"829"	"2.5"	"40"
"IDH1"	"832"	"666"	"2"	"29"
"EGFR"	"1,347"	"653"	"1.97"	"22"
"NF1"	"1,695"	"647"	"1.95"	"57"
"RB1"	"1,269"	"642"	"1.93"	"65"
"FAT1"	"2,006"	"597"	"1.8"	"45"
"SMAD4"	"891"	"592"	"1.78"	"37"
"ATM"	"1,518"	"585"	"1.76"	"50"
"NOTCH1"	"1,491"	"538"	"1.62"	"39"
"FBXW7"	"859"	"485"	"1.46"	"42"
"FAT3"	"3,031"	"434"	"1.31"	"29"
"ARID2"	"1,048"	"418"	"1.26"	"36"
"CREBBP"	"1,385"	"413"	"1.24"	"42"
"KDM6A"	"888"	"402"	"1.21"	"45"
"SMARCA4"	"1,100"	"395"	"1.19"	"45"
"ERBB2"	"867"	"370"	"1.11"	"30"
"PBRM1"	"953"	"367"	"1.1"	"23"
"SETD2"	"1,050"	"353"	"1.06"	"34"
"FAT4"	"3,246"	"326"	"0.98"	"37"
"ATRX"	"1,316"	"324"	"0.98"	"27"
"AR"	"886"	"320"	"0.96"	"17"
"VHL"	"491"	"314"	"0.95"	"6"
"PIK3R1"	"698"	"313"	"0.94"	"24"
"KEAP1"	"632"	"302"	"0.91"	"14"
"NFE2L2"	"545"	"299"	"0.9"	"18"
"EP300"	"1,003"	"292"	"0.88"	"30"
"SF3B1"	"731"	"278"	"0.84"	"25"
"FOXA1"	"595"	"273"	"0.82"	"15"
"CDH1"	"683"	"272"	"0.82"	"18"
"SPOP"	"432"	"256"	"0.77"	"15"
"MAP3K1"	"776"	"233"	"0.7"	"19"
"GATA3"	"655"	"228"	"0.69"	"7"
"ERBB3"	"742"	"218"	"0.66"	"17"
