TCGA-B0-4700	VHL,TTN,HMCN1
TCGA-CJ-4905	COL6A6,ANK3,TTN,PBRM1,LRP2,SRCAP,NEB
TCGA-A3-3376	KMT2C,SPEN,DENND4A
TCGA-A3-3382	VHL,DMD,TTN,PBRM1,DNAH3,FBN1,UTRN,USH2A,WDFY3
TCGA-B4-5836	MTOR,VHL,PBRM1,PRPF8,FLG
TCGA-CZ-5985	VHL,PCLO,OBSCN,HMCN1,BAP1,SLITRK6
TCGA-BP-5184	VHL,PBRM1,UTRN,ALPK2
TCGA-B2-5635	VHL,MED13,LRP2,SLIT2,AHNAK2,KDM5C,OBSCN,MUC16
TCGA-B0-5698	TTN,PBRM1,NAV3,KIF1B,KDM5C,SLITRK6
TCGA-B4-5834	ANK3,IGSF10,UTRN
TCGA-BP-5195	PTEN,VHL,HSPA8,PBRM1,DST,KDM5C,CSMD3,FAT3,KCNH7,NYNRIN
TCGA-B0-5108	LAMA4,VHL,KMT2D,FREM2,KDM5C,USH2A,PCDH15,PEG3
TCGA-B0-5703	ATM,VHL,DNAH17,DNAH3,PTPRZ1,SLIT2,PLXNA4,PRUNE2,MUC16,MYH2
TCGA-BP-4995	CACNA1S,VHL,COL6A6,ANK3,ANK2,TTN,PBRM1,AHNAK2,DCHS2,ADGRG4,SVEP1,FAT3
TCGA-AK-3456	ANK3,PCLO,FREM2,HIVEP1,NYNRIN
TCGA-AK-3440	TP53,HERC2,CSMD3,SAMD9
TCGA-B2-5633	KMT2C,ROS1,KIF1B,WDFY3,KCNH7
TCGA-BP-5169	VWF,VHL,PBRM1,SETD2,BIRC6,KIF1B,KDM5C,ALPK2
TCGA-BP-4164	VHL,PBRM1,KMT2C,DST,PKHD1L1,NYNRIN
TCGA-BP-4973	TNC,PBRM1,NPHP3,ADGRV1
TCGA-CJ-5683	RYR3,GRIN2B,LRP1,LRP2,KMT2C,PBRM1,FBN3,AKAP9,HYDIN,OBSCN,PCDH15
TCGA-BP-4989	FN1,VHL,PBRM1,TTN,RGS3,XIRP2
TCGA-DV-5573	ZEB2,ABCA8,TRIOBP,LYST
TCGA-CJ-4908	VHL,PBRM1,CUBN
TCGA-A3-A8OW	PBRM1,USP34,CENPF,OBSCN,MUC17
TCGA-BP-4972	COL4A5,ANK3,SLITRK6
TCGA-A3-A8OV	ROCK1,VHL,RELN,TTN,PBRM1,LRP1,DNAH2,HERC1,SYNE2,ZNF800,NEB,FLRT2
TCGA-B0-5402	COL6A3,VHL,SETD2,PDZD2,FBN2
TCGA-B0-4821	TNR,SETD2,ABCA1,CELSR1,TACC2,USP34,MYH4
TCGA-B0-5705	VHL,NCOR1,ARID1A,TTN,PBRM1,UBR4,BCORL1,ZNF318
TCGA-B0-5116	CACNA1S,TTN,PBRM1,MACF1,MUC16
TCGA-B8-A7U6	PRKDC,TTN,ABCA1,KDM5C,HYDIN,CSMD1,ALPK2
TCGA-CZ-5463	TP53,ZFPM2,VPS13C
TCGA-BP-4976	LAMA1,VHL,TTN,UBR4,IGF2R,PRUNE2,LYST,LRP1B,SAMD9
TCGA-AK-3455	VHL,MED13,SETD2,ZFPM2,DOCK4,ZFHX4,MUC16,SLITRK6
TCGA-DV-5569	NCOR1,DYNC2H1,TRIOBP,MUC16
TCGA-BP-5181	VHL,PBRM1,NPHP3
TCGA-BP-4988	ATM,VHL,PBRM1,NSD1,LRP2,AHNAK2,RGS3,USP34
TCGA-B0-5109	MYH7,DNAH2,TRIOBP,MYCBP2,NPHP3,SPHKAP,CHD7
TCGA-B0-5712	MTOR,COL6A3,HSPA8,TTN,PBRM1,DNAH2,CUBN,STAG2,DST,PDZD2,SYNE1,AKAP9,TENM1,ZNF318,MUC16
TCGA-BP-5191	STAG2,LRP1,TRIOBP,SYNE2,AKAP9,TACC2,LYST
TCGA-CJ-6027	MTOR,VHL,PBRM1,UBR4,PATJ,ATRX
TCGA-BP-5201	LAMA1,VHL,PBRM1,DYNC1H1,ALMS1,ZNF800
TCGA-CZ-5456	NOTCH2,ZEB2,PBRM1,SETD2,WDFY3,FLG,CHD7
TCGA-B0-4945	VHL,KMT2C,ARID1A,ZFHX4
TCGA-A3-3316	PTEN,VHL,PBRM1,ABCA13,PEG3
TCGA-CJ-4640	ANK2,LRP2,DNAH7,LYST
TCGA-CZ-5460	VHL,PBRM1,SETD2,ABCA1,KMT2C,PRUNE2
TCGA-CJ-6028	QSER1,LYST,DIP2C
TCGA-B0-5096	LAMB1,COL4A5,TTN,VHL,KMT2C,PBRM1,HERC1,ZFHX4,BAP1,KCNH7,PEG3
TCGA-BP-5010	PTEN,VHL,STAG2,ABCA13,SCAF4
TCGA-A3-A6NI	DNAH11,VHL,SMARCA4,ROS1,HIVEP1,ZZEF1,OBSCN
TCGA-CJ-4882	RYR3,TTN,APOB,SETD2,LRP2,ZFPM2,DST,ZZEF1,RTTN,BAP1
TCGA-B0-5690	ROCK1,LAMB1,PBRM1,TTN,SETD2,LRP2,NSD1,CENPF,WDFY3,MEGF10
TCGA-DV-A4W0	LAMA2,RYR1,DNAH3,DNAH9,ARID1A,PBRM1,FBN2,FAT1,RTTN,BAP1
TCGA-CZ-5465	ERBB4,TTN,VHL,DNAH2,MUC2,BIRC6,PBRM1,USH2A,IGSF10,PDZD2,PKHD1L1,SAMD9
TCGA-B0-5699	HSPA8,SETD2,PBRM1,SCAF4,BAP1
TCGA-B0-4827	MTOR,NOS1,VHL,SPEN,SRCAP,KIAA1549L,AKAP9,ROS1,ADGRG4,BAP1,MUC16
TCGA-CJ-4901	TTN,DOCK4,SPEN,ZNF800,TRIOBP,CSMD3
TCGA-B0-4816	RYR2,PBRM1,AFDN,ZZEF1,MACF1,KDM5C,FBN2,PKHD1
TCGA-B0-5080	APOB,DNAH3,THSD7B,CENPF,PCDH15,WDFY3,ADGRV1
TCGA-A3-3370	KMT2C,SCAF4,LRP1B
TCGA-MM-A564	MTOR,VHL,COL6A3,STAG2,LRP2,FBN1,NPHP3,SYNE2,DST,KDM5C,ADGRV1,LRP1B
TCGA-G6-A8L7	MYH7,PRKDC,PBRM1,DCHS2,ROS1,KIF1B,PKHD1L1,NYNRIN
TCGA-B8-5164	VWF,DNAH2,DNAH11
TCGA-CW-6093	LAMA1,ERBB4,VHL,ANK3,PBRM1,RANBP2,TTN,MAP3K4,XIRP2,MACF1,FAT3,MYH4
TCGA-A3-3322	SMARCA4,PBRM1,TACC2,LYST
TCGA-B0-5120	CACNA1S,TTN,PBRM1,CNOT1,PCDH15,ALMS1
TCGA-MM-A84U	MTOR,RYR2,TLN2,AFDN,TTN,ABCA8,FBN3,SRRM2
TCGA-DV-A4VX	COL4A5,VHL,ZEB2,TTN,SETD2,DYNC2H1,COL24A1,FBN2,LYST,SPEN,KDM5C
TCGA-G6-A8L8	VHL,PBRM1,DNAH11,MEGF10,PKHD1L1,MYH4
TCGA-CZ-5470	FN1,VHL,SETD2,PBRM1,BAP1,HIVEP1
TCGA-B4-5843	NCOR1,TNC,AKAP9
TCGA-AK-3465	LAMA4,TTN,DNAH10,PLXNA4,FCGBP
TCGA-B0-4823	COL6A3,VHL,SMARCA4,TTN,ABCA1,DNAH7,AHNAK2,USH2A,THSD7B,CHD7
TCGA-CJ-4902	VWF,VHL,RYR3,APOB,AHNAK,FBN2,ALPK2
TCGA-EU-5904	VHL,TTN,KIF1B,MYO16,DIP2C,XIRP2,MYH4
TCGA-BP-5190	AFDN,PBRM1,KDM5C,DIP2C,MUC16
TCGA-3Z-A93Z	THBS1,VHL,MYCBP2,IGSF10,LRP1B,RALGAPA1
TCGA-CZ-5458	VHL,SPTA1,RYR3,CNOT1,PKHD1L1
TCGA-B0-5095	VHL,BAP1,MUC16,NEB
TCGA-BP-5183	VHL,PBRM1,CSMD3
TCGA-B0-4818	VHL,TNC,PBRM1,TTN,HERC2,SRCAP,HMCN1,RALGAPA1
TCGA-BP-5192	COL4A5,VHL,ANK3,FAT4,CSMD1,SPHKAP
TCGA-BP-4962	VHL,TTN,BAP1
TCGA-BP-5000	TTN,DNAH11,AHNAK,BCORL1,KDM5C,NEB
TCGA-BP-4985	STAG2,PBRM1,DNAH2,DNAH9,RANBP2,ABCA13,AHNAK,VPS13B,BAP1,MUC16
TCGA-B8-5545	ANK3,CUBN,BCORL1,SLITRK6
TCGA-CZ-5459	THBS1,VHL,TTN,SETD2,MAP3K4,ZFPM2,FBN1,DST
TCGA-GK-A6C7	NOS1,ARID1A,TTN,KMT2D,PBRM1,DNAH9,ZNF800,CENPF,XIRP2,HYDIN,SRRM2
