gene1	gene2	jaccard index	pv (ws)
VPS13D	PTEN	0.02631578947368421	0.0604
VPS13D	SIPA1L2	0.0	0.1
VPS13D	PXDNL	0.0	0.03
VPS13D	DOCK4	0.0	0.0525
VPS13D	MAP3K4	0.0	0.0629
VPS13D	ATP1A4	0.0	0.0821
VPS13D	UBR2	0.0	0.1
VPS13D	CDC42BPB	0.0	0.1
VPS13D	MYO9A	0.0	0.1
VPS13D	MED12	0.0	0.0096
VPS13D	COL19A1	0.0	0.0821
VPS13D	PHKA2	0.0	0.0437
VPS13D	CHD4	0.017857142857142856	0.07185
VPS13D	PPEF1	0.0	0.1
VPS13D	SYBU	0.0	0.0821
VPS13D	CNTLN	0.0	0.0629
VPS13D	TCHH	0.0	0.0227
VPS13D	TEK	0.0	0.1
VPS13D	MAP3K13	0.0	0.1
VPS13D	HIVEP2	0.0	0.0607
VPS13D	STAB2	0.0	0.1
VPS13D	TRIO	0.0	0.0525
AGO4	MAP3K1	0.0	0.0458
AGO4	HMCN1	0.0	0.0648
AGO4	SYNE1	0.0	0.0648
AGO4	FLG	0.0	0.0739
AGO4	USH2A	0.0	0.0899
TTLL7	RYR2	0.0	0.0507
AP4B1	KMT2C	0.0	0.0936
SYCP1	FMN2	0.0	0.0954
SYCP1	NCOR1	0.0	0.0391
SYCP1	ADGRV1	0.0	0.0742
CASQ2	KMT2C	0.0	0.0936
BCL9	ASPM	0.0	0.0389
BCL9	USP34	0.0	0.0544
BCL9	GOLGB1	0.0	0.091
BCL9	ZFHX4	0.014285714285714285	0.0707
BCL9	MUC5B	0.0	0.0176
BCL9	CACNA1F	0.0	0.0617
BCL9	PREX2	0.0	0.0617
BCL9	FREM1	0.0	0.0821
BCL9	NEXMIF	0.0	0.0821
BCL9	PTEN	0.014705882352941176	0.0831
BCL9	GRIN2A	0.0	0.0821
BCL9	DCHS2	0.0	0.0608
BCL9	ANK2	0.0	0.0544
BCL9	CSMD1	0.0	0.0195
BCL9	ZNF536	0.0	0.0753
BCL9	DMD	0.0	0.0128
BCL9	CACNA1C	0.0	0.091
BCL9	DNAH8	0.0	0.0379
BCL9	DST	0.0	0.0128
BCL9	FLNA	0.0	0.0821
BCL9	ZDBF2	0.0	0.0821
BCL9	ADGRV1	0.0	0.029
BCL9	ABCA13	0.0	0.0124
BCL9	FLNC	0.0	0.091
BCL9	ANK3	0.0	0.0617
BCL9	ATM	0.0	0.0617
BCL9	LRP1	0.0	0.0416
BCL9	NF1	0.0	0.0225
BCL9	COL12A1	0.0	0.0677
BCL9	APOB	0.0	0.0176
BCL9	HYDIN	0.0	0.0374
BCL9	PRKDC	0.0	0.0389
BCL9	VPS13C	0.0	0.0608
BCL9	ERBB2	0.0	0.091
BCL9	CMYA5	0.0	0.0617
BCL9	DOCK11	0.0	0.0608
BCL9	UBR4	0.0	0.0608
BCL9	MACF1	0.015151515151515152	0.0927
BCL9	ABCA12	0.0	0.091
BCL9	COL14A1	0.0	0.091
