gene1	gene2	jaccard index	pv (ws)
KCNF1	CSMD3	0.0	0.0469
KCNF1	USH2A	0.0	0.099
CTNNA2	THSD7B	0.0	0.0794
CTNNA2	SPTAN1	0.0	0.073
CTNNA2	MUC5AC	0.0	0.0649
CTNNA2	DST	0.0425531914893617	0.0762
CTNNA2	PKHD1	0.013888888888888888	0.0191
CTNNA2	LRP1B	0.05042016806722689	0.0733
CTNNA2	FN1	0.0	0.0458
CTNNA2	SHROOM4	0.0	0.0794
CTNNA2	MAGI2	0.0	0.0545
CTNNA2	MYH15	0.0	0.0649
CTNNA2	GRIN2B	0.016666666666666666	0.0791
CTNNA2	FLNC	0.0	0.073
CTNNA2	SPATA31E1	0.0	0.073
CTNNA2	SLITRK5	0.01694915254237288	0.0858
CTNNA2	PAK5	0.0	0.0794
CTNNA2	MAP2	0.0	0.0292
CTNNA2	DOCK11	0.0	0.0794
CTNNA2	NTRK3	0.0	0.0794
THSD7B	CSMD3	0.017391304347826087	0.0374
THSD7B	MDN1	0.0	0.0794
THSD7B	MGAM	0.0	0.0791
THSD7B	CACNA1C	0.0	0.0999
THSD7B	EP300	0.0	0.0467
THSD7B	DPP10	0.0	0.0999
THSD7B	DMD	0.013888888888888888	0.0799
THSD7B	LRRC4C	0.0	0.0794
THSD7B	AKAP9	0.0	0.0791
THSD7B	CSMD2	0.0	0.0794
THSD7B	RYR2	0.012345679012345678	0.0501
THSD7B	ANK2	0.0	0.0536
THSD7B	MYH8	0.0	0.0794
THSD7B	COL14A1	0.0	0.0791
THSD7B	ATP10A	0.0	0.0999
THSD7B	HYDIN	0.0	0.0999
THSD7B	MYH13	0.0	0.0794
THSD7B	LRP1	0.0	0.0579
THSD7B	ZNF208	0.0	0.0791
ZEB2	PIK3CA	0.01020408163265306	0.0496
ZEB2	DNAH9	0.0	0.0662
ZEB2	SYNE2	0.0	0.0712
MYO3B	AHNAK	0.0	0.1
SATB2	HUWE1	0.0	0.0573
SATB2	PKHD1	0.0	0.0871
SATB2	LRP1B	0.009615384615384616	0.0509
SATB2	DNAH9	0.0	0.0794
SLC4A3	APOB	0.0	0.0914
SLC4A3	ZFHX4	0.0	0.0914
WDR49	AHNAK	0.0	0.0775
FRAS1	DSP	0.0	0.0478
FRAS1	NLRP3	0.0	0.087
FRAS1	FAM47A	0.0	0.0478
FRAS1	SIM1	0.0	0.0951
FRAS1	PRKD1	0.0	0.075
BMP3	MUC16	0.0	0.089
PCDHA6	CDKN2A	0.024793388429752067	0.0248
PCDHA6	COL11A1	0.014084507042253521	0.05
PCDHA6	FLG	0.023255813953488372	0.063
PCDHA6	ATRNL1	0.0	0.0681
PCDHA6	MAP1A	0.0	0.0617
PCDHA6	PIK3CA	0.028846153846153848	0.0682
PCDHA6	MYCBP2	0.0	0.0777
PCDHA6	NRXN3	0.0	0.0617
PCDHA6	CHD7	0.0	0.087
PCDHA6	RP1	0.0	0.0163
PCDHA6	ANKRD30A	0.0	0.0908
PCDHB12	TP53	0.0410958904109589	0.0453
PCDHB12	FAT1	0.03759398496240601	0.0888
PCDHB12	MAP1B	0.0	0.0932
PCDHB12	DOCK2	0.0	0.0683
PCDHB12	ARID1A	0.0	0.0932
PCDHB12	SLITRK5	0.0	0.0505
PCDHB12	WDFY3	0.0	0.075
ZFP2	NSD1	0.0	0.0973
ZFP2	PCLO	0.0	0.0404
ZFP2	AHNAK	0.0	0.0775
ARID1B	CREBBP	0.0	0.0916
ARID1B	FAT2	0.0	0.0693
CDKN2A	VPS13A	0.03305785123966942	0.064
CDKN2A	DCDC1	0.025423728813559324	0.0733
CDKN2A	TP53	0.19430051813471502	0.00591
CDKN2A	ZNF536	0.06716417910447761	0.0719
CDKN2A	FLG	0.1038961038961039	0.0681
CDKN2A	CCDC50	0.0	0.0175
CDKN2A	TMEM168	0.008928571428571428	0.0761
CDKN2A	GRIA4	0.008771929824561403	0.0334
CDKN2A	ZC3H14	0.0	0.0626
CDKN2A	PTPRT	0.024793388429752067	0.0248
CDKN2A	SRSF6	0.0	0.0626
CDKN2A	CILP2	0.008849557522123894	0.0489
CDKN2A	COL24A1	0.03333333333333333	0.0772
CDKN2A	CLCA1	0.0	0.0626
CDKN2A	MYT1L	0.017391304347826087	0.0741
CDKN2A	NBAS	0.04	0.0447
CDKN2A	IFT172	0.017391304347826087	0.0741
CDKN2A	BIRC6	0.023809523809523808	0.00515
CDKN2A	LRPPRC	0.008928571428571428	0.0761
CDKN2A	HK2	0.0	0.0626
CDKN2A	IGKV1D-16	0.0	0.0411
CDKN2A	CNTNAP5	0.03305785123966942	0.064
CDKN2A	TTN	0.1863799283154122	0.0257
CDKN2A	ERBB4	0.03225806451612903	0.0253
CDKN2A	COL4A3	0.025	0.0388
CDKN2A	MYLK	0.01694915254237288	0.0251
CDKN2A	AADAC	0.0	0.0626
CDKN2A	MME	0.016666666666666666	0.0128
CDKN2A	PARP8	0.017391304347826087	0.0741
CDKN2A	FBN2	0.04032258064516129	0.05905
CDKN2A	TNXB	0.04	0.0447
CDKN2A	MDN1	0.0546875	0.0925
CDKN2A	NRCAM	0.017543859649122806	0.0932
CDKN2A	ARFGEF1	0.017094017094017096	0.0341
