gene1	gene2	jaccard index	pv (ws)
TNS1	VHL	0.0	0.0945
NDUFC1	VHL	0.0	0.0945
CCDC146	VHL	0.0	0.0945
MUC16	BAP1	0.025974025974025976	0.0682
TTN	VHL	0.16666666666666666	0.0145
TTN	PLXND1	0.0	0.0771
TTN	ZNF800	0.0	0.049
TTN	KIF19	0.0	0.0771
TTN	SYNE2	0.009708737864077669	0.0785
TTN	GPR179	0.0	0.0771
TTN	KMT2A	0.0	0.0771
TTN	FAT3	0.009708737864077669	0.0785
TTN	HIVEP1	0.0	0.049
TTN	ACAN	0.0	0.0771
TTN	MYO16	0.0	0.049
VHL	ARFGEF1	0.0	0.0454
VHL	C3	0.0	0.0212
VHL	RAB11FIP5	0.0	0.0945
VHL	MOB2	0.0	0.0945
VHL	PAN3	0.0	0.0212
VHL	MED18	0.0	0.0945
VHL	TRANK1	0.0	0.0945
VHL	PIK3CA	0.0	0.0212
VHL	GRM1	0.0	0.0945
VHL	PTPDC1	0.0	0.0454
VHL	FRMPD2	0.0	0.0945
VHL	ALB	0.0	0.0212
VHL	PLXNA4	0.011111111111111112	0.0917
VHL	PIKFYVE	0.0	0.0945
VHL	ANK2	0.01639344262295082	0.0444
VHL	ZDHHC13	0.0	0.0945
VHL	LRRC37B	0.0	0.0945
VHL	ACSL6	0.0	0.0945
VHL	TRAF3IP2	0.0	0.0945
VHL	CCNB2	0.00558659217877095	0.0779
VHL	KIF1B	0.005434782608695652	0.00276
VHL	PAX3	0.0	0.0945
VHL	AP000769.3	0.011049723756906077	0.0556
VHL	VWF	0.00546448087431694	0.00485
VHL	CACNA1S	0.01092896174863388	0.01716
VHL	FAT2	0.00558659217877095	0.0779
VHL	WNK1	0.0	0.0945
VHL	SRRM2	0.011049723756906077	0.0556
VHL	ZNF653	0.0	0.0945
VHL	COL4A6	0.0	0.0945
VHL	PGAM2	0.0	0.0945
VHL	LAD1	0.0	0.0454
VHL	CHD4	0.0	0.00423
VHL	HPN	0.0	0.0945
VHL	BCORL1	0.011111111111111112	0.0917
VHL	PRKACB	0.0	0.0454
VHL	ASXL3	0.0	0.0454
VHL	ZBTB10	0.0	0.0945
VHL	RNF17	0.0	0.0945
VHL	ZNF347	0.0	0.0945
VHL	GRIK1	0.0	0.0945
VHL	SEMA3A	0.0	0.0945
VHL	ZFYVE26	0.00558659217877095	0.0779
VHL	AXL	0.0	0.0945
VHL	APOB	0.011111111111111112	0.0917
VHL	ADAMTSL2	0.0	0.0945
VHL	QSER1	0.011111111111111112	0.0917
VHL	C12orf40	0.0	0.0945
VHL	CNTN1	0.0	0.0945
VHL	PSMA6	0.0	0.0945
VHL	OPRM1	0.0	0.0212
VHL	AP000769.5	0.0	0.0945
VHL	IFT140	0.00558659217877095	0.0779
VHL	KIF19	0.005555555555555556	0.03997
VHL	ZNF100	0.0	0.0945
VHL	SCAF4	0.011111111111111112	0.0917
VHL	COP1	0.0	0.0945
VHL	HIPK2	0.0	0.0454
VHL	HYDIN	0.011049723756906077	0.0556
VHL	PKHD1L1	0.02702702702702703	0.062
VHL	ATAD2	0.0	0.0945
VHL	RBM28	0.005555555555555556	0.03997
VHL	DLG5	0.0	0.0945
VHL	GOLGA3	0.0	0.0454
VHL	CHD3	0.0	0.0454
VHL	FMN2	0.0	0.0454
VHL	GREB1	0.0	0.0454
VHL	ACVR1B	0.0	0.0945
VHL	IRAG1	0.0	0.0945
VHL	XKR4	0.0	0.0945
VHL	RALGAPA1	0.00546448087431694	0.00485
VHL	TDRD5	0.0	0.0945
VHL	FAM71B	0.0	0.0945
VHL	LAMA2	0.011049723756906077	0.0556
VHL	ALDH1A1	0.0	0.0945
VHL	PSG3	0.0	0.0945
VHL	TH	0.0	0.0945
VHL	PVR	0.0	0.0945
VHL	ALAS1	0.0	0.0945
VHL	MCPH1	0.0	0.0945
VHL	ADGRA1	0.0	0.0945
VHL	EML5	0.0	0.0212
VHL	RABEP1	0.0	0.0945
VHL	IREB2	0.0	0.0945
VHL	EPB41L5	0.0	0.0945
VHL	YTHDC1	0.0	0.0945
VHL	ZNF532	0.0	0.0945
VHL	RIPPLY3	0.0	0.0945
VHL	TRMT13	0.0	0.0945
VHL	WDR19	0.0	0.0945
VHL	OTUD4	0.0	0.0945
VHL	MUC6	0.0	0.0945
VHL	ABCC1	0.0	0.0945
VHL	DCHS2	0.011111111111111112	0.0917
VHL	ZNF292	0.0	0.0212
VHL	BCAN	0.0	0.0945
VHL	MME	0.0	0.0945
VHL	MCHR2	0.0	0.0945
VHL	CDH23	0.0	0.0454
VHL	MYNN	0.0	0.0945
VHL	WAC	0.0	0.0454
VHL	SOX9	0.0	0.0945
VHL	PTPRC	0.0	0.0212
VHL	DDX42	0.0	0.0945
VHL	SLC6A5	0.0	0.0945
VHL	PPP6R3	0.0	0.0945
VHL	DCAF6	0.0	0.0945
VHL	NIPBL	0.005555555555555556	0.03997
VHL	TMEM87A	0.0	0.0945
VHL	IPO13	0.0	0.0945
VHL	TECTB	0.0	0.0454
VHL	RIMBP2	0.005555555555555556	0.03997
VHL	SLC26A5	0.0	0.0945
VHL	PCSK5	0.0	0.0945
VHL	RANBP6	0.0	0.0945
VHL	AMER2	0.0	0.0454
VHL	SEMA6D	0.0	0.0945
VHL	OGDH	0.0	0.0945
VHL	WDR46	0.0	0.0945
VHL	DOCK4	0.0055248618784530384	0.0194
VHL	FCAR	0.0	0.0945
VHL	ANGPT1	0.0	0.0945
VHL	SORCS3	0.0	0.0454
VHL	MYO19	0.0	0.0945
VHL	CA14	0.0	0.0945
VHL	ZNF148	0.0	0.0945
VHL	FCHSD1	0.0	0.0945
VHL	KCNG4	0.0	0.0945
VHL	ITCH	0.0	0.0945
VHL	APOL6	0.0	0.0945
VHL	OTOP1	0.0	0.0945
VHL	BOD1L1	0.00558659217877095	0.0779
VHL	PCDH10	0.00558659217877095	0.0779
VHL	ATM	0.015957446808510637	0.0022
VHL	PPP4R3B	0.00558659217877095	0.0779
VHL	FASN	0.00558659217877095	0.0779
VHL	PHTF1	0.0	0.0454
VHL	AHCTF1	0.0	0.0454
VHL	ATP6V1B1	0.0	0.0945
VHL	TAAR5	0.0	0.0945
VHL	TLN1	0.0	0.0945
VHL	OR4S2	0.0	0.0945
VHL	RAD52	0.0	0.0945
VHL	PLA2G4D	0.0	0.0945
VHL	SCAPER	0.0	0.0945
VHL	FES	0.0	0.0945
VHL	GRIN2A	0.00558659217877095	0.0779
VHL	FAM83C	0.0	0.0945
VHL	CDYL	0.0	0.0945
VHL	XPO6	0.0	0.0945
VHL	GNB1	0.0	0.0945
VHL	PRRC2C	0.00558659217877095	0.0779
VHL	ANKMY1	0.0	0.0945
VHL	OGA	0.0	0.0945
VHL	MEGF8	0.0	0.0945
VHL	WDR77	0.0	0.0945
VHL	CUL3	0.005555555555555556	0.03997
VHL	PCNX3	0.0	0.0212
VHL	PYGM	0.0	0.0945
VHL	ADAMTS2	0.00558659217877095	0.0779
VHL	STRBP	0.0	0.0945
VHL	AMBRA1	0.0	0.0945
VHL	CLCA1	0.0	0.0945
VHL	CAMK2G	0.0	0.0945
VHL	SLC28A1	0.0	0.0945
VHL	KLHL17	0.0	0.0945
VHL	RBM8A	0.0	0.0945
VHL	FLNB	0.0	0.0945
VHL	UGT2A3	0.0	0.0454
VHL	SBF2	0.0	0.0454
VHL	ABLIM1	0.0	0.0945
VHL	MYO1E	0.0	0.0945
VHL	SEZ6	0.0	0.0945
VHL	CTSB	0.0	0.0454
VHL	VANGL1	0.0	0.0945
VHL	AP4E1	0.0	0.0945
VHL	CNR2	0.0	0.0454
VHL	NRP2	0.0	0.0945
VHL	CDH19	0.0	0.0454
VHL	MYH15	0.0	0.0945
VHL	TMTC3	0.0	0.0454
VHL	CCPG1	0.0	0.0945
VHL	PNP	0.0	0.0945
VHL	PHLDB1	0.0	0.0945
VHL	NTRK3	0.0	0.0945
VHL	RYR1	0.021739130434782608	0.0512
VHL	CNTNAP3	0.0	0.0212
VHL	THEMIS	0.0	0.0454
VHL	TJP1	0.0	0.0945
VHL	GGN	0.0	0.0945
VHL	SLC3A1	0.0	0.0945
VHL	SPEF2	0.0	0.0945
VHL	DBH	0.0	0.0945
VHL	NAALAD2	0.0	0.0945
VHL	DDX5	0.0	0.0454
VHL	CNGB3	0.0	0.0945
VHL	KIAA0100	0.0	0.0454
VHL	MTMR10	0.0	0.0945
VHL	NPHS1	0.0	0.0945
VHL	ASIC2	0.0	0.0945
VHL	SLC4A7	0.0	0.0945
VHL	SLC16A9	0.0	0.0945
VHL	MARK2	0.0	0.0945
VHL	HIP1R	0.0	0.0454
VHL	DDX60L	0.0	0.0945
VHL	ADCY1	0.0	0.0945
VHL	PCDHGA7	0.0	0.0945
VHL	DLGAP5	0.0	0.0945
VHL	NEDD4	0.0	0.0945
VHL	CCDC81	0.0	0.0454
VHL	KPNA4	0.0	0.0945
VHL	YAP1	0.0	0.0945
VHL	NPHP1	0.0	0.0454
VHL	DCTN1	0.0	0.0454
VHL	ZBTB38	0.0	0.0945
VHL	CDH4	0.0	0.0945
VHL	ZNF107	0.0	0.0945
VHL	MAGEB6	0.0	0.0945
VHL	DOCK3	0.0	0.0945
VHL	MC3R	0.0	0.0945
VHL	ITPR1	0.0	0.0945
VHL	IGHV1OR21-1	0.0	0.0945
VHL	KLF3	0.0	0.0945
VHL	MCF2	0.0	0.0945
VHL	CCT8L2	0.0	0.0945
VHL	IL2RA	0.0	0.0945
VHL	LRRC15	0.0	0.0945
VHL	DMKN	0.0	0.0945
VHL	HAUS7	0.0	0.0945
VHL	LSM14B	0.0	0.0945
VHL	ZNF518A	0.0	0.0945
VHL	YEATS4	0.0	0.0945
VHL	HOOK3	0.0	0.0945
VHL	PCSK9	0.0	0.0945
VHL	MAGEA10	0.0	0.0945
VHL	MYG1	0.0	0.0945
SETD2	MUC17	0.0	0.0763
SETD2	RYR2	0.0	0.0763
RBPJ	PBRM1	0.0	0.066
MTUS1	PBRM1	0.0	0.0342
MTOR	KDM5C	0.0	0.0845
PBRM1	PDZD2	0.012195121951219513	0.0597
PBRM1	PTPDC1	0.0	0.066
PBRM1	SLC12A6	0.0	0.066
PBRM1	FNIP1	0.0	0.066
PBRM1	LRP2	0.040697674418604654	0.0561
PBRM1	ARHGAP25	0.0	0.066
PBRM1	SMC1B	0.0	0.066
PBRM1	KIF4B	0.0	0.066
PBRM1	ATXN1	0.0	0.066
PBRM1	SV2C	0.0	0.066
PBRM1	RAD50	0.006172839506172839	0.0675
PBRM1	CASP8AP2	0.006172839506172839	0.0675
PBRM1	SETBP1	0.0	0.066
PBRM1	ZNF79	0.0	0.0342
PBRM1	NCAPG2	0.0	0.0342
PBRM1	BRCA2	0.012121212121212121	0.0357
PBRM1	AFF3	0.0	0.0176
PBRM1	TAF1C	0.0	0.066
PBRM1	UMODL1	0.0	0.066
PBRM1	NMT2	0.0	0.0176
PBRM1	ZNF790	0.0	0.066
PBRM1	KANSL1L	0.0	0.066
PBRM1	DOCK10	0.0	0.0176
PBRM1	KLF8	0.0	0.066
PBRM1	TOGARAM1	0.0	0.0342
PBRM1	NCOA4	0.0	0.066
PBRM1	GABRA1	0.0	0.066
PBRM1	FMN2	0.0	0.066
PBRM1	PTPRB	0.0	0.00832
PBRM1	PPRC1	0.0	0.0342
PBRM1	PZP	0.006172839506172839	0.06912
PBRM1	TENM4	0.0	0.0342
PBRM1	RIMKLB	0.0	0.066
PBRM1	RBM19	0.0	0.066
PBRM1	ZFAT	0.0	0.066
PBRM1	PRMT7	0.0	0.066
PBRM1	SYNE1	0.023952095808383235	0.0662
PBRM1	TEX11	0.0	0.066
PBRM1	SACS	0.006134969325153374	0.0407
PBRM1	ADAMTS13	0.0	0.066
PBRM1	SUZ12	0.0	0.0342
PBRM1	PI4KB	0.0	0.066
PBRM1	NPHP3	0.006097560975609756	0.0232
PBRM1	NUP98	0.0	0.0342
PBRM1	TP63	0.0	0.0176
PBRM1	IL18RAP	0.0	0.066
PBRM1	ARFGEF3	0.0	0.066
PBRM1	ZNF395	0.0	0.0342
PBRM1	AMER2	0.0	0.066
PBRM1	UBR1	0.0	0.0176
PBRM1	STK31	0.0	0.066
PBRM1	COL11A2	0.0	0.066
PBRM1	MTCL1	0.0	0.066
PBRM1	REV3L	0.0	0.0342
PBRM1	AKAP9	0.012195121951219513	0.0597
PBRM1	A1CF	0.0	0.066
PBRM1	CARD11	0.0	0.0342
PBRM1	DCDC1	0.0	0.0176
PBRM1	TERT	0.0	0.066
PBRM1	ATM	0.023668639053254437	0.027
PBRM1	MROH9	0.0	0.066
PBRM1	SPEN	0.023952095808383235	0.0662
PBRM1	PHTF1	0.0	0.066
PBRM1	ROBO2	0.0	0.066
PBRM1	MUC4	0.0	0.066
PBRM1	HDAC9	0.0	0.066
PBRM1	AKAP11	0.0	0.066
PBRM1	ZSCAN29	0.0	0.0342
PBRM1	ERBB2	0.0	0.0342
PBRM1	ATP1B4	0.0	0.066
PBRM1	TGM5	0.0	0.0176
PBRM1	IRX1	0.0	0.066
PBRM1	SLC16A4	0.0	0.0342
PBRM1	TNR	0.0	0.00454
PBRM1	ANKIB1	0.0	0.066
PBRM1	CACNA1E	0.0	0.066
PBRM1	KCNT1	0.0	0.066
PBRM1	CACNA1C	0.0	0.0176
PBRM1	CAD	0.0	0.066
PBRM1	FAT4	0.006097560975609756	0.0232
PBRM1	FMO5	0.0	0.066
PBRM1	SECISBP2L	0.0	0.0342
PBRM1	MTMR3	0.0	0.066
PBRM1	CFTR	0.0	0.0342
PBRM1	XPO1	0.0	0.066
PBRM1	MLH3	0.0	0.066
PBRM1	TMCO3	0.0	0.066
PBRM1	ITIH5	0.0	0.066
PBRM1	PROS1	0.0	0.066
PBRM1	SGK1	0.0	0.066
PBRM1	SPRED1	0.0	0.066
PBRM1	PRRC2A	0.0	0.0176
PBRM1	MKKS	0.0	0.066
PBRM1	ZNF112	0.0	0.066
PBRM1	CHGB	0.0	0.066
PBRM1	RABGAP1	0.0	0.066
PBRM1	MARCHF10	0.0	0.066
PBRM1	DTNA	0.0	0.066
PBRM1	HPS5	0.0	0.066
PBRM1	PARP4	0.0	0.066
PBRM1	ZRANB3	0.0	0.066
PBRM1	POLR1A	0.0	0.0342
PBRM1	MYO5A	0.0	0.066
PBRM1	POTEE	0.0	0.0342
PBRM1	NPHP1	0.0	0.066
