gene1	gene2	jaccard index	pv (ws)
ARID1A	CTNNB1	0.05	0.0297
ARID1A	DCHS2	0.0	0.0386
ARID1A	SLITRK2	0.0	0.0688
ARID1A	FN1	0.0	0.0824
ARID1A	TENM3	0.0	0.0824
ARID1A	EVC2	0.0	0.0824
ARID1A	ABCA12	0.0	0.0653
ARID1A	BRINP3	0.0	0.0824
ARID1A	MYO3A	0.0	0.0551
ASTN1	CSMD3	0.0	0.0929
GEMIN5	CTNNB1	0.0	0.0484
BMPER	CTNNB1	0.009615384615384616	0.0848
CHD4	TTN	0.007751937984496124	0.0558
MYH1	OBSCN	0.016129032258064516	0.0837
MYH1	USH2A	0.0	0.0364
MYH1	TP53	0.03278688524590164	0.0683
MYH1	FASN	0.0	0.0679
MYH1	MUC5B	0.0	0.0551
MACF1	TP53	0.015873015873015872	0.00176
MACF1	LAMA1	0.0	0.0797
MACF1	DST	0.0	0.068
MACF1	PCLO	0.014285714285714285	0.0363
MACF1	PLXNA4	0.0	0.0882
MACF1	ADGRV1	0.0	0.0386
MACF1	KIF26B	0.0	0.0797
MACF1	DOCK2	0.0	0.068
MACF1	FREM2	0.0	0.068
MACF1	RYR1	0.0	0.0557
MACF1	FBN2	0.0	0.0797
MACF1	DNAH8	0.0	0.0797
MACF1	KMT2D	0.0	0.0882
MACF1	MUC5B	0.0	0.0386
MACF1	PKHD1L1	0.0	0.0826
CACNA1S	CSMD3	0.0	0.0776
OBSCN	XIRP2	0.038461538461538464	0.0462
OBSCN	MECOM	0.0	0.1
OBSCN	KMT2C	0.0	0.0337
OBSCN	SLC9C1	0.0	0.0703
OBSCN	TP53	0.0851063829787234	0.0347
OBSCN	RYR2	0.047619047619047616	0.0503
OBSCN	CELSR2	0.0	0.0176
OBSCN	ANKRD11	0.0	0.0563
OBSCN	SLIT3	0.0	0.0563
OBSCN	CSMD3	0.04938271604938271	0.0763
OBSCN	IGDCC4	0.0	0.1
OBSCN	POLQ	0.015873015873015872	0.0671
OBSCN	SAMD9	0.0	0.1
OBSCN	FREM2	0.029411764705882353	0.0931
OBSCN	CEP250	0.0	0.1
OBSCN	CHD6	0.0	0.1
OBSCN	SLC8A1	0.0	0.0703
OBSCN	PDZD2	0.0	0.1
OBSCN	ICE1	0.0	0.0459
OBSCN	DNAH5	0.014285714285714285	0.0177
OBSCN	CEP290	0.0	0.1
OBSCN	CNTNAP5	0.0	0.1
OBSCN	MYO3B	0.0	0.1
OBSCN	MYH7	0.0	0.0337
OBSCN	TNR	0.0	0.1
OBSCN	ADAM12	0.0	0.1
OBSCN	GPHN	0.0	0.1
OBSCN	MXRA5	0.0	0.0563
OBSCN	GRIN2A	0.0	0.1
OBSCN	FRMPD4	0.0	0.1
OBSCN	KIAA1549L	0.0	0.0703
OBSCN	SF3B1	0.0	0.1
OBSCN	TNS3	0.0	0.1
OBSCN	FANCM	0.0	0.0563
OBSCN	SHANK1	0.0	0.0459
OBSCN	LYST	0.0	0.0563
LRP2	PCDH15	0.0	0.0904
LRP2	PCLO	0.014925373134328358	0.0663
LRP2	FAT3	0.0	0.0767
LRP2	RYR1	0.0	0.1
REV3L	PCLO	0.015151515151515152	0.0809
CYP11B2	TP53	0.0	0.0342
ABCA2	TP53	0.008695652173913044	0.084
HECTD4	USH2A	0.0	0.0624
NPAS3	TP53	0.008547008547008548	0.0334
ADAMTSL3	TTN	0.0	0.0131
IL21R	TTN	0.0	0.0419
DNAH17	PCDH15	0.0	0.0904
SPTBN4	PCLO	0.0	0.063
COL11A1	USH2A	0.0	0.00912
COL11A1	BIRC6	0.0	0.0638
COL11A1	ZNF536	0.0	0.0904
COL11A1	CSMD2	0.0	0.0591
