gene1	gene2	jaccard index	pv (ws)
SPEN	BIRC6	0.0	0.0161
SPEN	SEMA5A	0.0	0.0725
SPEN	PXDN	0.0	0.0748
SPEN	FBN2	0.0	0.0287
SPEN	ADAMTS12	0.017857142857142856	0.0429
SPEN	PTPRZ1	0.0	0.0907
SPEN	KIAA1549L	0.0	0.085
SPEN	ITPR2	0.0	0.085
SPEN	NF1	0.012195121951219513	0.073
SPEN	C6	0.0	0.0206
SPEN	OR5D14	0.0	0.0907
SPEN	ZNF99	0.011494252873563218	0.0497
SPEN	TKTL2	0.0	0.085
SPEN	MUC5B	0.010752688172043012	0.0363
SPEN	SHANK1	0.0	0.0907
SPEN	TDRD5	0.0	0.085
SPEN	PLCL1	0.0	0.0725
SPEN	REG1A	0.0	0.0748
SPEN	ZNF804B	0.02	0.077
SPEN	MUC4	0.0	0.075
SPEN	ABCC8	0.0	0.0748
SPEN	MYH1	0.011363636363636364	0.0446
SPEN	OR6F1	0.0	0.0607
SPEN	FSIP2	0.0	0.0907
SPEN	PRUNE2	0.0	0.0473
SPEN	HYDIN	0.0	0.0206
SPEN	ZNF208	0.012345679012345678	0.0721
SPEN	BRCA2	0.0	0.0607
SPEN	DIDO1	0.0	0.0907
SPEN	ZEB1	0.0	0.075
SPEN	FCRL5	0.0	0.0473
SPEN	OR4C12	0.0	0.0501
SPEN	CDH11	0.0	0.0907
SPEN	OR5D18	0.0	0.0501
SPEN	USP29	0.0	0.075
SPEN	ARID1B	0.0	0.0907
PADI4	PCDH15	0.0	0.089
ADGRB2	SCN3A	0.0	0.0688
ADGRB2	ITPRID1	0.0	0.0688
ADGRB2	ASTN2	0.0	0.0772
ADGRB2	SYTL2	0.0	0.0772
ADGRB2	GRM8	0.0125	0.0821
ADGRB2	ZFHX4	0.021621621621621623	0.0119
ADGRB2	NOS1	0.0	0.0288
ADGRB2	PCDH17	0.0	0.0791
ADGRB2	GABRA2	0.0	0.0791
ADGRB2	CUBN	0.019230769230769232	0.0775
ADGRB2	NELL1	0.0	0.0914
ADGRB2	NPAP1	0.01282051282051282	0.0953
ADGRB2	PREX1	0.0	0.0914
ADGRB2	KMT2D	0.0234375	0.0753
ADGRB2	MAGEC1	0.0	0.0395
ADGRB2	KMT2C	0.012345679012345678	0.077
ADGRB2	DNAH2	0.0	0.0791
ADGRB2	CNTN6	0.0	0.0772
ADGRB2	LRRIQ1	0.0	0.0688
ADGRB2	MORC1	0.0	0.0504
ADGRB2	MMP16	0.012658227848101266	0.0888
ADGRB2	HGF	0.0	0.0772
ADGRB2	PTPRB	0.0	0.0306
ADGRB2	PLCB1	0.0	0.0772
ADGRB2	SLIT2	0.0	0.0772
ADGRB2	CCT8L2	0.0	0.0914
ADGRB2	RASA1	0.0	0.0791
ADGRB2	ANK1	0.0	0.0791
LRRC7	OR5H2	0.011494252873563218	0.096
LRRC7	PCDHA7	0.03	0.0668
LRRC7	PKHD1	0.08771929824561403	0.0339
LRRC7	LMTK2	0.0	0.0384
LRRC7	PDE3B	0.011363636363636364	0.0795
LRRC7	NUP160	0.0	0.0345
LRRC7	EXPH5	0.0	0.00226
LRRC7	TUBA3C	0.020833333333333332	0.0573
LRRC7	ZFYVE26	0.010638297872340425	0.0234
LRRC7	KCNK10	0.010101010101010102	0.00756
LRRC7	OCA2	0.038461538461538464	0.0918
LRRC7	FBN1	0.0380952380952381	0.0757
LRRC7	CYP4F2	0.0	0.0207
LRRC7	BPIFB1	0.0	0.0946
LRRC7	XKR3	0.0	0.00401
LRRC7	MAGEB4	0.0	0.00806
LRRC7	ASPM	0.05128205128205128	0.064
LRRC7	MAP3K19	0.02040816326530612	0.03805
LRRC7	HTR3E	0.0	0.075
LRRC7	BOD1L1	0.030303030303030304	0.0882
LRRC7	SLC13A1	0.010526315789473684	0.01872
LRRC7	PI15	0.0	0.0608
LRRC7	ANKRD30A	0.04316546762589928	0.00247
